title,genre,prize,players,tournaments
Age of Empires,Strategy,442956.66,396,216
Age of Empires II,Strategy,2901418.45,1822,1409
Age of Empires III,Strategy,113893.65,164,141
Age of Empires IV,Strategy,814953.76,403,243
Age of Empires Online,Strategy,7536.56,38,37
Age of Mythology,Strategy,115875.82,180,190
Among Us,Strategy,86000.0,14,8
Auto Chess,Strategy,1163720.28,133,52
Brawl Stars,Strategy,3766376.06,276,45
Chess.com,Strategy,3998064.33,831,379
chess24,Strategy,4179375.43,90,28
Clash of Clans,Strategy,4471027.87,368,65
Clash Royale,Strategy,6143348.27,314,56
Command & Conquer 3,Strategy,53086.67,9,8
Company of Heroes 2,Strategy,8561.22,11,6
ComPet,Strategy,2000.0,50,1
Dead By Daylight,Strategy,60000.0,35,9
Dead by Daylight Mobile,Strategy,10000.0,0,1
Dota Underlords,Strategy,26024.18,62,36
Endgods,Strategy,0.0,0,0
Farming Simulator 19,Strategy,582267.88,127,25
Grey Goo,Strategy,36400.0,18,5
Heroes of Might and Magic III,Strategy,0.0,0,0
Identity V,Strategy,1189526.81,30,4
Internet Chess Club,Strategy,10000.0,6,1
Iron Harvest,Strategy,0.0,0,0
Legion TD 2,Strategy,0.0,0,0
Lichess,Strategy,1287327.78,342,163
Loco Dojo Unleashed,Strategy,1000.0,4,1
Men of War: Assault Squad 2,Strategy,0.0,0,0
Multigaming,Strategy,500766.46,36,8
Playchess.com,Strategy,32866.58,116,9
Pokémon GO,Strategy,3790.0,24,4
Pokémon VGC,Strategy,271102.0,217,31
Prophecy,Strategy,13000.0,27,4
Rise of Nations: Rise of Legends,Strategy,69600.0,8,1
Sea of Thieves,Strategy,100000.0,67,4
Star Wars: Squadrons,Strategy,800.0,4,1
StarCraft II,Strategy,38451480.74,2172,6817
StarCraft: Brood War,Strategy,7248536.45,622,499
StarCraft: Remastered,Strategy,1832959.79,269,238
Summoners War: Sky Arena,Strategy,652000.0,32,6
Super Mario Party,Strategy,220.0,4,1
Supreme Commander,Strategy,4901.26,0,1
Supreme Commander: Forged Alliance,Strategy,1290.01,0,1
Teamfight Tactics,Strategy,3651670.96,515,55
TEPPEN,Strategy,504721.47,18,2
The Binding of Isaac,Strategy,15000.0,16,1
UNO,Strategy,30000.0,28,3
WarCraft III,Strategy,6194043.92,675,1467
WarCraft III: Reforged,Strategy,1446305.02,139,335
"Warhammer 40,000: Dawn of War",Strategy,79816.5,7,3
"Warhammer 40,000: Dawn of War II",Strategy,0.0,0,0
Warparty,Strategy,1175.0,6,2
Windjammers,Strategy,5651.47,36,16
World in Conflict,Strategy,293338.23,38,11
World of Tanks,Strategy,3988496.59,418,54
World of Tanks Blitz,Strategy,63330.0,14,6
After-H,First-Person Shooter,0.0,0,0
Aim Gods,First-Person Shooter,250000.0,2,1
Aliens versus Predator 2,First-Person Shooter,40000.0,1,1
Alliance of Valiant Arms,First-Person Shooter,0.0,0,0
Archangel Hellfire,First-Person Shooter,5500.0,14,9
Battalion 1944,First-Person Shooter,206654.67,135,29
Battlefield 1,First-Person Shooter,0.0,0,0
Battlefield 2,First-Person Shooter,91715.22,0,12
Battlefield 2142,First-Person Shooter,18546.14,0,4
Battlefield 3,First-Person Shooter,25407.46,5,7
Battlefield 4,First-Person Shooter,245766.46,204,145
Battlefield Hardline,First-Person Shooter,13463.28,20,1
Battlefield V,First-Person Shooter,0.0,0,0
Beat Aim,First-Person Shooter,430.0,12,6
Big Buck Hunter Arcade,First-Person Shooter,76200.0,3,1
Black Squad,First-Person Shooter,8480.72,57,17
Blaston,First-Person Shooter,17483.56,26,18
Borderlands 3,First-Person Shooter,50000.0,16,1
Call of Duty,First-Person Shooter,54799.77,66,4
Call of Duty 2,First-Person Shooter,66828.51,41,17
Call of Duty 4: Modern Warfare,First-Person Shooter,425409.27,431,87
Call of Duty: Advanced Warfare,First-Person Shooter,2611808.93,783,405
Call of Duty: Black Ops,First-Person Shooter,375793.48,118,23
Call of Duty: Black Ops 2,First-Person Shooter,1479139.25,187,54
Call of Duty: Black Ops 4,First-Person Shooter,6734938.95,389,82
Call of Duty: Black Ops Cold War,First-Person Shooter,6299000.0,274,89
Call of Duty: Black Ops III,First-Person Shooter,3939783.29,424,78
Call of Duty: Blackout,First-Person Shooter,611608.35,175,18
Call of Duty: Ghosts,First-Person Shooter,1594185.25,199,76
Call of Duty: Infinite Warfare,First-Person Shooter,4166705.06,343,84
Call of Duty: Mobile,First-Person Shooter,5758274.0,284,15
Call of Duty: Modern Warfare,First-Person Shooter,7500784.5,393,81
Call of Duty: Modern Warfare 2,First-Person Shooter,117360.64,65,20
Call of Duty: Modern Warfare 3,First-Person Shooter,1160815.66,209,45
Call of Duty: Modern Warfare II,First-Person Shooter,563000.0,59,4
Call of Duty: Vanguard,First-Person Shooter,6321000.0,261,91
Call of Duty: Warzone,First-Person Shooter,10869721.17,1225,377
Call of Duty: Warzone 2.0,First-Person Shooter,131788.78,62,12
Call of Duty: WWII,First-Person Shooter,4578021.0,296,77
Chex Quest,First-Person Shooter,100.0,2,1
Contractors,First-Person Shooter,1000.0,20,1
Counter-Strike,First-Person Shooter,13559672.19,4225,1018
Counter-Strike Online,First-Person Shooter,406989.6,70,12
Counter-Strike: Condition Zero,First-Person Shooter,162150.6,111,3
Counter-Strike: Global Offensive,First-Person Shooter,145421312.21,15464,6518
Counter-Strike: Source,First-Person Shooter,3113222.29,1502,333
Critical Ops,First-Person Shooter,12606.41,4,3
CrossFire,First-Person Shooter,15811557.8,841,336
CrossFire HD,First-Person Shooter,432765.0,56,2
CrossFire Mobile,First-Person Shooter,3282417.5,0,12
Crysis,First-Person Shooter,11340.95,0,2
Day of Defeat,First-Person Shooter,51180.41,43,4
Day of Defeat: Source,First-Person Shooter,14068.57,50,8
Descent 3,First-Person Shooter,50000.0,1,1
Diabotical,First-Person Shooter,262274.97,390,378
Doom (2016),First-Person Shooter,7000.0,6,1
Doom 3,First-Person Shooter,257748.16,14,4
Doom II: Hell on Earth,First-Person Shooter,5108.56,14,8
DOOMBRINGER,First-Person Shooter,567.77,8,4
Echo Combat,First-Person Shooter,46800.0,16,1
Enemy Territory: Quake Wars,First-Person Shooter,60923.12,27,4
Escape from Tarkov,First-Person Shooter,114600.0,150,4
EV.IO,First-Person Shooter,0.0,0,0
Evolve,First-Person Shooter,131509.05,110,33
F.E.A.R.,First-Person Shooter,178000.0,20,5
Ghost Recon Advanced Warfighter,First-Person Shooter,24000.0,0,2
Gundam Versus,First-Person Shooter,280.0,6,1
Guns of Boom,First-Person Shooter,198750.0,8,21
Halo 2,First-Person Shooter,1626762.47,126,74
Halo 2 Anniversary,First-Person Shooter,468705.05,97,20
Halo 3,First-Person Shooter,2318079.4,214,43
Halo 4,First-Person Shooter,430748.76,66,19
Halo 5: Guardians,First-Person Shooter,7160480.97,248,109
Halo Infinite,First-Person Shooter,2948155.0,200,33
Halo: Combat Evolved,First-Person Shooter,299281.0,118,39
Halo: Reach,First-Person Shooter,772089.97,121,29
Ironsight,First-Person Shooter,0.0,0,0
Islands of Nyne,First-Person Shooter,0.0,0,0
Lemnis Gate,First-Person Shooter,1564.7,6,5
MechWarrior Online,First-Person Shooter,143490.0,0,1
Metal Gear Online,First-Person Shooter,8000.0,37,8
Onward,First-Person Shooter,161820.0,92,8
Overwatch,First-Person Shooter,34278670.88,3837,811
Overwatch 2,First-Person Shooter,5516513.0,478,26
Painkiller,First-Person Shooter,1015000.0,48,13
Paladins,First-Person Shooter,2490507.6,586,79
Pavlov,First-Person Shooter,1260.0,19,3
Pistol Whip,First-Person Shooter,7500.0,13,1
Point Blank,First-Person Shooter,1733770.01,551,104
Quake 4,First-Person Shooter,558539.27,103,54
Quake Champions,First-Person Shooter,3281612.77,295,276
Quake II,First-Person Shooter,140425.98,34,12
Quake III Arena,First-Person Shooter,1149561.21,284,108
Quake Live,First-Person Shooter,684979.12,225,413
QuakeWorld,First-Person Shooter,103851.67,49,18
Rage,First-Person Shooter,5000.0,3,1
Rainbow Six Extraction,First-Person Shooter,0.0,0,0
Rainbow Six Siege,First-Person Shooter,32499402.67,2794,530
Rainbow Six: Vegas,First-Person Shooter,176400.77,124,7
Rainbow Six: Vegas 2,First-Person Shooter,79000.0,0,8
Realm Royale,First-Person Shooter,263000.0,47,9
Reflex,First-Person Shooter,2458.37,24,9
Resistance 2,First-Person Shooter,50400.0,194,1
Resistance 2,First-Person Shooter,0.0,0,0
Return to Castle Wolfenstein,First-Person Shooter,67424.3,30,3
Rust,First-Person Shooter,0.0,0,0
S.K.I.L.L. - Special Force 2,First-Person Shooter,147532.93,97,22
S.T.A.L.K.E.R.: Shadow of Chernobyl,First-Person Shooter,4901.26,0,1
Shadowrun,First-Person Shooter,24000.0,0,3
ShootMania Storm,First-Person Shooter,262090.69,108,43
Snapshot VR,First-Person Shooter,1000.0,15,2
Space Junkies,First-Person Shooter,30420.0,33,4
Special Force,First-Person Shooter,130250.0,0,3
Splatoon,First-Person Shooter,1390.0,3,4
Splatoon 2,First-Person Shooter,10055.0,13,7
Star Wars Jedi Knight II: Jedi Outcast,First-Person Shooter,7679.25,0,1
Sudden Attack,First-Person Shooter,0.0,0,0
Team Fortress 2,First-Person Shooter,728491.34,1367,199
Tower Tag,First-Person Shooter,5170.41,25,5
Uncharted 4: A Thief's End,First-Person Shooter,46235.07,5,1
Unreal Tournament,First-Person Shooter,89000.0,14,5
Unreal Tournament (2016),First-Person Shooter,5084.97,82,8
Unreal Tournament 2003,First-Person Shooter,147473.91,33,14
Unreal Tournament 2004,First-Person Shooter,133969.33,41,12
Unreal Tournament 3,First-Person Shooter,104977.82,7,4
Vail VR,First-Person Shooter,0.0,0,0
VAIL VR,First-Person Shooter,36000.0,30,2
VALORANT,First-Person Shooter,15503735.71,4548,870
Warface,First-Person Shooter,109555.0,32,2
Warsow,First-Person Shooter,183.0,2,1
Wolfenstein: Enemy Territory,First-Person Shooter,140963.24,152,18
Xonotic,First-Person Shooter,14935.01,137,44
Zombieland VR: Headshot Fever,First-Person Shooter,10000.0,4,1
Zula,First-Person Shooter,100000.0,20,1
Arena of Valor,Multiplayer Online Battle Arena,70392427.25,1843,145
Battlerite,Multiplayer Online Battle Arena,65173.45,86,75
Blankos Block Party,Multiplayer Online Battle Arena,250.0,3,1
Bloodline Champions,Multiplayer Online Battle Arena,41905.32,43,12
Crab Game,Multiplayer Online Battle Arena,45950.0,32,11
Creative Destruction,Multiplayer Online Battle Arena,100000.0,8,1
Defense of the Ancients,Multiplayer Online Battle Arena,857420.65,468,94
Dofus,Multiplayer Online Battle Arena,0.0,0,0
Dota 2,Multiplayer Online Battle Arena,310896032.15,4539,1730
Heavy Metal Machines,Multiplayer Online Battle Arena,12339.33,35,1
Heroes of Newerth,Multiplayer Online Battle Arena,3088252.72,820,396
Heroes of the Storm,Multiplayer Online Battle Arena,18388734.99,1288,491
Hyper Scape,Multiplayer Online Battle Arena,299000.0,260,4
League of Legends,Multiplayer Online Battle Arena,98625835.84,8684,2765
League of Legends: Wild Rift,Multiplayer Online Battle Arena,7863906.47,1310,92
Legend of Glory,Multiplayer Online Battle Arena,472.66,0,1
Minecraft,Multiplayer Online Battle Arena,1444227.15,466,68
MOBA Legends,Multiplayer Online Battle Arena,225.0,3,1
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,8653650.83,1345,89
Onmyoji Arena,Multiplayer Online Battle Arena,89679.22,5,1
Pokemon Unite,Multiplayer Online Battle Arena,150000.0,97,4
Roblox,Multiplayer Online Battle Arena,0.0,0,0
Shards of War,Multiplayer Online Battle Arena,1029.21,20,1
SMITE,Multiplayer Online Battle Arena,9250112.75,542,97
Splitgate: Arena Warfare,Multiplayer Online Battle Arena,50000.0,64,2
Teeworlds,Multiplayer Online Battle Arena,0.0,0,0
Vainglory,Multiplayer Online Battle Arena,906421.19,262,36
Blade & Soul,Role-Playing Game,679006.26,89,7
Cave Digger 2,Role-Playing Game,750.0,4,1
Chivalry 2,Role-Playing Game,0.0,0,0
Guild Wars 2,Role-Playing Game,476005.5,152,57
Naraka: Bladepoint,Role-Playing Game,2908130.52,138,12
Old School Runescape,Role-Playing Game,457504.2,84,26
Red Stone,Role-Playing Game,58000.0,12,2
Stardew Valley,Role-Playing Game,97850.0,69,3
World of WarCraft,Role-Playing Game,7596337.61,478,168
Acceleration of SUGURI 2,Fighting Game,410.0,8,3
Akatsuki Blitzkampf,Fighting Game,20.0,3,1
Aquapazza: Aquaplus Dream Match,Fighting Game,245.0,5,2
Arcana Heart 3,Fighting Game,1000.0,4,1
Arcana Heart 3: Love Max Six Stars!!!!!,Fighting Game,570.0,8,4
Arcana Heart 3: LOVE MAX!!!!!,Fighting Game,410.0,6,2
ARMS,Fighting Game,22156.46,126,105
Asuka 120% LimitOver BURNING Fest.,Fighting Game,10.0,3,1
Attack on Titan Tribute Game,Fighting Game,108650.0,21,15
BlazBlue: Calamity Trigger,Fighting Game,35.0,3,1
BlazBlue: Central Fiction,Fighting Game,88273.21,106,47
BlazBlue: Chronophantasma,Fighting Game,37020.58,63,15
BlazBlue: Chronophantasma Extend,Fighting Game,4918.77,28,11
BlazBlue: Continuum Shift Extend,Fighting Game,0.0,3,1
BlazBlue: Continuum Shift II,Fighting Game,24591.01,14,5
BlazBlue: Cross Tag Battle,Fighting Game,97872.7,128,42
Brawlhalla,Fighting Game,3614257.83,845,642
Brawlout,Fighting Game,0.0,0,0
Breakers Revenge,Fighting Game,16.0,3,1
Capcom vs. SNK,Fighting Game,140.0,6,2
Capcom vs. SNK 2,Fighting Game,24976.79,38,22
Chaos Code: New Sign of Catastrophe,Fighting Game,140.0,3,1
Dead or Alive 4,Fighting Game,497745.31,45,13
Dead or Alive 5,Fighting Game,0.0,4,2
Dead or Alive 5 Ultimate,Fighting Game,0.0,37,7
Dead or Alive 5: Last Round,Fighting Game,15413.82,46,20
Dead or Alive 6,Fighting Game,64742.54,67,21
Dead or Alive Ultimate,Fighting Game,30000.0,3,1
Def Jam: Fight for NY,Fighting Game,550.0,6,3
Dengeki Bunko: Fighting Climax,Fighting Game,60.0,3,1
Dengeki Bunko: Fighting Climax Ignition,Fighting Game,3852.8,40,14
Digimon Rumble Arena,Fighting Game,200.0,5,2
Divekick,Fighting Game,5840.0,27,11
DNF Duel,Fighting Game,27095.48,48,10
Dragon Ball FighterZ,Fighting Game,421903.14,270,163
Dragon Ball Z: Budokai 3,Fighting Game,204.06,3,1
Duck Game,Fighting Game,750.0,5,2
Eternal Fighter Zero,Fighting Game,1311.6,7,2
Fantasy Strike,Fighting Game,5799.8,21,5
Fight of Animals,Fighting Game,630.68,9,4
Fighter's History Dynamite,Fighting Game,195.0,3,1
Fighting EX Layer,Fighting Game,1642.96,16,7
Garou: Mark of the Wolves,Fighting Game,658.71,13,4
Granblue Fantasy: Versus,Fighting Game,176825.88,105,82
Guilty Gear,Fighting Game,32.0,3,1
Guilty Gear -STRIVE-,Fighting Game,217732.88,221,64
Guilty Gear Xrd -REVELATOR-,Fighting Game,36437.43,61,19
Guilty Gear Xrd -SIGN-,Fighting Game,37445.66,80,38
Guilty Gear Xrd REV 2,Fighting Game,124899.3,125,60
Guilty Gear XX,Fighting Game,0.0,5,2
Guilty Gear XX #Reload,Fighting Game,0.0,3,1
Guilty Gear XX Accent Core,Fighting Game,10365.0,33,4
Guilty Gear XX Accent Core Plus,Fighting Game,0.0,3,1
Guilty Gear XX Accent Core Plus R,Fighting Game,14702.14,82,30
Guilty Gear XX Slash,Fighting Game,10250.0,6,2
Hokuto no Ken,Fighting Game,145.0,3,1
Hyper Street Fighter II,Fighting Game,10250.0,8,1
HYPERFIGHT,Fighting Game,140.0,4,2
Injustice 2,Fighting Game,837447.16,81,38
Injustice: Gods Among Us,Fighting Game,35176.89,101,117
