title,genre,prize,players,tournaments
JoJo's Bizarre Adventure: All Star Battle R,Fighting Game,780.0,8,1
JoJo's Bizarre Adventure: Heritage for the Future,Fighting Game,324.99,8,3
Kill la Kill the Game: IF,Fighting Game,920.0,12,4
Killer Instinct (2013),Fighting Game,226323.54,132,57
King of Fighters 2002 Unlimited Match,Fighting Game,760.0,6,2
King of Fighters 98,Fighting Game,7945.57,7,3
King of Fighters XI,Fighting Game,25.0,3,1
King of Fighters XIII,Fighting Game,45444.28,107,43
King of Fighters XIV,Fighting Game,74402.09,89,39
King of Fighters XV,Fighting Game,74189.51,135,27
Kirby Fighters 2,Fighting Game,222.86,4,1
Koihime Enbu,Fighting Game,1765.0,14,7
Lethal League Blaze,Fighting Game,5643.92,25,12
Maiden & Spell,Fighting Game,325.0,5,2
Marvel vs. Capcom 2,Fighting Game,39279.73,68,29
Marvel vs. Capcom 3,Fighting Game,22343.62,38,12
Marvel vs. Capcom: Infinite,Fighting Game,76256.72,60,22
Melty Blood: Actress Again,Fighting Game,0.0,10,2
Melty Blood: Actress Again Current Code,Fighting Game,11429.93,68,24
Melty Blood: Type Lumina,Fighting Game,12842.49,44,11
Mighty Fight Federation,Fighting Game,100.0,3,1
Million Arthur: Arcana Blood,Fighting Game,7540.0,12,4
Mordhau,Fighting Game,16623.0,40,3
Mortal Kombat 11,Fighting Game,576390.54,233,60
Mortal Kombat 9,Fighting Game,136891.67,67,26
Mortal Kombat vs. DC Universe,Fighting Game,0.0,3,1
Mortal Kombat X,Fighting Game,523532.42,100,62
Mortal Kombat XL,Fighting Game,134203.79,55,18
MultiVersus,Fighting Game,114202.5,59,10
Mystery Game Tournament,Fighting Game,10995.0,56,8
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting Game,4550.0,7,5
Naruto: Gekitou Ninja Taisen! 4,Fighting Game,200.0,3,1
Ninja Legends,Fighting Game,1000.0,6,1
Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,1994.0,10,4
Persona 4 Arena,Fighting Game,6336.63,42,11
Persona 4 Arena Ultimax,Fighting Game,20268.16,65,21
Pocket Bravery,Fighting Game,452.35,3,1
Pocket Rumble,Fighting Game,185.0,5,2
Pokkén Tournament,Fighting Game,77216.66,65,26
Pokkén Tournament DX,Fighting Game,22125.4,44,28
Power Instinct: Matrimelee,Fighting Game,90.0,5,2
Power Rangers: Battle for the Grid,Fighting Game,6746.8,26,12
Power Rangers: Legacy Wars,Fighting Game,4178.55,2,1
Project Justice,Fighting Game,165.0,3,1
Project M,Fighting Game,205292.09,560,335
Project Plus,Fighting Game,195.0,6,2
Punch Planet,Fighting Game,400.0,6,2
Red Earth,Fighting Game,100.0,3,1
Rising Thunder,Fighting Game,1000.0,3,1
Rivals of Aether,Fighting Game,40314.85,57,23
Roof Rage,Fighting Game,50.0,3,1
Rushdown Revolt,Fighting Game,4160.09,31,18
Sailor Moon S,Fighting Game,3281.19,20,12
Samurai Shodown (2019),Fighting Game,77983.31,75,20
Samurai Shodown III,Fighting Game,70.0,5,2
Samurai Shodown V Special,Fighting Game,590.57,15,5
Schwarzerblitz,Fighting Game,200.0,5,2
Sekiro: Shadows Die Twice,Fighting Game,19596.0,20,1
Shovel Knight Showdown,Fighting Game,60.0,3,1
Shrek SuperSlam,Fighting Game,80.0,4,2
Skullgirls,Fighting Game,300.0,3,1
Skullgirls 2nd Encore,Fighting Game,55643.02,73,24
Skullgirls Encore,Fighting Game,9155.4,37,13
Slap City,Fighting Game,600.0,5,2
SLAYERS FOR HIRE,Fighting Game,600.0,8,2
Smash Remix,Fighting Game,299.06,4,1
SNK Heroines: Tag Team Frenzy,Fighting Game,430.0,3,1
Soul Calibur II,Fighting Game,4980.0,17,8
Soul Calibur II HD Online,Fighting Game,945.41,29,5
Soul Calibur IV,Fighting Game,260.0,3,2
Soul Calibur V,Fighting Game,60428.54,79,27
Soul Calibur VI,Fighting Game,176687.27,127,71
Street Fighter Alpha 2,Fighting Game,2944.69,24,11
Street Fighter Alpha 3,Fighting Game,340.0,16,5
Street Fighter EX2 Plus,Fighting Game,350.0,5,2
Street Fighter III: 3rd Strike,Fighting Game,54341.18,108,45
Street Fighter IV,Fighting Game,7938.22,41,12
Street Fighter V,Fighting Game,2266798.43,279,130
Street Fighter V: Arcade Edition,Fighting Game,2263945.95,235,104
Street Fighter V: Champion Edition,Fighting Game,891040.67,263,148
Street Fighter X Tekken,Fighting Game,84090.64,115,93
Super Smash Bros.,Fighting Game,68832.81,238,126
Super Smash Bros. Brawl,Fighting Game,248100.83,509,348
Super Smash Bros. for Wii U,Fighting Game,1515451.47,1281,1035
Super Smash Bros. Melee,Fighting Game,3542159.27,1930,2640
Super Smash Bros. Ultimate,Fighting Game,2249938.81,2318,1652
Super Street Fighter II Turbo,Fighting Game,25646.29,114,51
Super Street Fighter II Turbo HD Remix,Fighting Game,16360.0,29,8
Super Street Fighter IV,Fighting Game,30229.3,43,18
Super Street Fighter IV Arcade Edition,Fighting Game,355586.67,154,204
Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting Game,2771.76,16,16
Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting Game,820.0,7,2
Tekken 4,Fighting Game,12500.0,4,4
Tekken 5,Fighting Game,10250.0,10,9
Tekken 5: Dark Resurrection,Fighting Game,12180.0,18,5
Tekken 6,Fighting Game,119874.64,59,30
Tekken 7,Fighting Game,2398235.35,580,383
Tekken Tag Tournament,Fighting Game,0.0,7,4
Tekken Tag Tournament 2,Fighting Game,126501.3,151,141
The Last Blade 2,Fighting Game,60.0,4,2
The Unspoken,Fighting Game,38824.08,7,4
Them's Fightin' Herds,Fighting Game,4578.19,28,29
Toribash,Fighting Game,100.0,3,1
Tough Love Arena,Fighting Game,100.0,3,1
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,Fighting Game,4501.52,18,6
TowerFall: Ascension,Fighting Game,0.0,0,0
Ultimate Marvel vs. Capcom 3,Fighting Game,147679.59,209,185
Ultimate Mortal Kombat 3,Fighting Game,150.0,6,2
Ultra Fight Da! Kyanta 2,Fighting Game,320.0,3,1
Ultra Street Fighter IV,Fighting Game,818394.62,242,233
Umineko: Golden Fantasia,Fighting Game,190.0,9,3
Under Night In-Birth EXE: Late,Fighting Game,6025.76,52,23
Under Night In-Birth EXE: Late[st],Fighting Game,54583.33,109,40
Under Night In-Birth Exe:Late[cl-r],Fighting Game,6337.01,38,9
Vampire Savior,Fighting Game,16642.38,37,22
Virtua Fighter 4: Evolution,Fighting Game,0.0,6,3
Virtua Fighter 5,Fighting Game,39830.0,14,7
Virtua Fighter 5 Final Showdown,Fighting Game,573.77,28,6
Virtua Fighter 5: Ultimate Showdown,Fighting Game,1870.0,14,3
Windjammers 2,Fighting Game,1056.07,3,56
WWE 2K20,Fighting Game,50000.0,20,2
Asphalt 4,Racing,29500.0,5,2
Asphalt 9: Legends,Racing,51520.0,5,2
Assetto Corsa,Racing,749657.7,287,122
Assetto Corsa Competizione,Racing,505754.8,469,54
Dirt Rally 2.0,Racing,30000.0,9,4
F1 2018,Racing,200000.0,21,1
F1 2019,Racing,538047.38,25,2
F1 2020,Racing,752235.0,42,3
F1 2021,Racing,765939.0,35,4
F1 22,Racing,750000.0,22,1
Forza Horizon 5,Racing,5000.0,7,1
Forza Motorsport 2,Racing,222000.0,17,2
Forza Motorsport 3,Racing,11000.0,3,2
Forza Motorsport 4,Racing,132.37,2,1
Forza Motorsport 6,Racing,172600.0,43,9
Forza Motorsport 7,Racing,820200.0,123,12
Gran Turismo 3: A-Spec,Racing,3250.0,4,2
Gran Turismo 4,Racing,44000.0,5,2
Gran Turismo Sport,Racing,61522.56,126,25
GRID (2019),Racing,218.75,3,1
Hot Lap League,Racing,0.0,0,0
iRacing.com,Racing,3063860.83,1263,179
Jak 3,Racing,0.0,0,0
Jak and Daxter: The Precursur Legacy,Racing,500.0,16,1
Jak II,Racing,0.0,14,1
KartRider,Racing,567366.35,76,20
Live for Speed,Racing,11833.14,28,10
Mad Skills Motocross 2,Racing,20163.0,12,1
Marbles on Stream,Racing,0.0,0,0
Mario Kart 8 Deluxe,Racing,5004.44,48,9
NASCAR Heat 4,Racing,200500.0,34,5
Nascar Heat 5,Racing,6125.0,20,2
NASCAR Thunder 2002,Racing,7679.25,0,1
NASCAR Thunder 2003,Racing,5933.5,0,1
Need for Speed Carbon,Racing,36322.58,12,4
Need for Speed: Most Wanted,Racing,35694.54,18,7
Need for Speed: ProStreet,Racing,32208.46,12,3
Need for Speed: Shift,Racing,10500.0,3,1
Need for Speed: Underground,Racing,35000.0,3,1
Need for Speed: Underground 2,Racing,35629.48,8,3
Project Cars,Racing,68628.21,52,125
Project Cars 2,Racing,66150.0,37,22
Project Gotham Racing 2,Racing,35000.0,4,2
Project Gotham Racing 3,Racing,297286.85,33,10
Project Gotham Racing 4,Racing,25208.46,5,4
RaceRoom Racing Experience,Racing,277591.2,159,27
rFactor,Racing,15083.56,51,4
rFactor 2,Racing,1947383.12,494,96
Speedrunners,Racing,150.0,5,2
Sprint Vector,Racing,11750.0,8,1
Trackmania (2020),Racing,356552.09,539,436
TrackMania 2: Canyon,Racing,22426.12,24,37
TrackMania 2: Stadium,Racing,200644.87,345,287
Trackmania 2: Valley,Racing,779.34,6,2
TrackMania Nations,Racing,101381.66,22,8
TrackMania Nations Forever,Racing,171331.47,132,77
Trackmania Turbo,Racing,679.41,6,2
Trackmania United,Racing,1027.5,3,1
Trackmania United Forever,Racing,0.0,0,0
Trials Fusion,Racing,0.0,0,0
Turbo Racing League,Racing,1000000.0,16,9
Void Racer,Racing,460.0,4,1
WRC 10 FIA World Rally Championship,Racing,25250.0,1,1
Audio Trip,Sports,650.0,4,2
Carom 3D,Sports,60500.0,11,4
Dream league Soccer,Sports,0.0,0,0
Echo Arena,Sports,195852.32,126,24
eFootball,Sports,492000.0,62,14
Eleven Table Tennis,Sports,0.0,0,0
FIFA 03,Sports,54066.44,10,3
FIFA 04,Sports,40000.0,3,3
FIFA 05,Sports,57728.01,5,8
FIFA 06,Sports,112464.53,23,12
FIFA 07,Sports,238312.23,43,14
FIFA 08,Sports,207129.94,68,17
FIFA 09,Sports,121618.34,52,19
FIFA 10,Sports,117026.71,64,48
FIFA 11,Sports,93983.77,72,78
FIFA 12,Sports,54431.52,53,66
FIFA 13,Sports,458427.82,53,62
FIFA 14,Sports,96347.81,57,69
FIFA 15,Sports,144373.99,168,352
FIFA 16,Sports,117828.11,61,28
FIFA 17,Sports,1482612.63,156,48
FIFA 18,Sports,2233697.69,235,48
FIFA 19,Sports,3246142.34,303,49
FIFA 20,Sports,2606667.1,322,63
FIFA 2000,Sports,50000.0,4,1
FIFA 2001,Sports,46000.0,9,2
FIFA 2002 World Cup,Sports,43000.0,8,1
FIFA 21,Sports,2245134.53,234,26
FIFA 22,Sports,1388411.5,160,10
FIFA Online 3,Sports,1937542.85,124,25
FIFA Online 4,Sports,3285714.48,361,56
GOLF Plus,Sports,5000.0,4,1
Golf With Your Friends,Sports,19400.0,11,2
Gran Turismo 7,Sports,21084.8,13,3
Groove Gunner,Sports,0.0,0,0
Guitar Hero 5,Sports,10500.0,3,1
Guitar Hero III: Legends of Rock,Sports,19000.0,8,2
Guitar Hero: World Tour,Sports,0.0,0,0
Gym Masters VR,Sports,500.0,4,1
Just Dance 2014,Sports,0.0,3,1
Just Hoops,Sports,0.0,0,0
Madden NFL 19,Sports,125000.0,5,3
Madden NFL 20,Sports,923000.0,38,2
Madden NFL 2004,Sports,1500.0,3,1
Madden NFL 2006,Sports,100000.0,1,1
Madden NFL 2007,Sports,100000.0,1,1
Madden NFL 2008,Sports,100000.0,1,1
Madden NFL 2009,Sports,100000.0,1,1
Madden NFL 2013,Sports,400000.0,8,1
Madden NFL 2016,Sports,50000.0,8,1
Madden NFL 2017,Sports,1004000.0,42,5
Madden NFL 2018,Sports,423676.62,40,3
Madden NFL 22,Sports,1000000.0,14,1
Mario Tennis Aces,Sports,61.3,6,2
NBA 2K Online,Sports,0.0,0,0
NBA 2K18,Sports,1000000.0,91,4
NBA 2K19,Sports,0.0,0,0
NBA 2K20,Sports,0.0,0,0
NBA 2K21,Sports,501.0,3,1
NHL '94,Sports,3818.56,25,8
NHL 12,Sports,702.93,6,2
NHL 13,Sports,70000.0,1,1
NHL 14,Sports,3023.96,6,3
NHL 15,Sports,3157.16,3,3
NHL 17,Sports,0.0,0,0
NHL 18,Sports,102700.0,20,6
NHL 19,Sports,22566.67,10,8
Nock,Sports,4050.0,12,2
Pro Evolution Soccer 2008,Sports,2084.15,6,3
Pro Evolution Soccer 2009,Sports,1395.97,5,2
Pro Evolution Soccer 2013,Sports,0.0,0,0
Pro Evolution Soccer 2014,Sports,29410.25,4,1
Pro Evolution Soccer 2015,Sports,26544.76,3,1
Pro Evolution Soccer 2016,Sports,27243.84,17,6
Pro Evolution Soccer 2017,Sports,514697.71,39,16
Pro Evolution Soccer 2018,Sports,250000.0,20,3
Pro Evolution Soccer 2019,Sports,216000.0,25,2
Pro Evolution Soccer 3,Sports,25000.0,8,2
Pro Evolution Soccer 4,Sports,40550.64,11,2
Pro Evolution Soccer 5,Sports,32000.0,4,1
Pro Evolution Soccer 6,Sports,20216.82,5,2
Racket: NX,Sports,500.0,3,1
Ragnaröck,Sports,0.0,0,0
Rezzil Player,Sports,51250.0,15,10
Rocket League,Sports,26864810.87,3300,2784
Rocket League Sideswipe,Sports,2500.0,1,1
Slapshot Rebound,Sports,0.0,0,0
Soccer Stars,Sports,0.0,0,0
SuperPlayer,Sports,1000.0,3,1
Synth Riders,Sports,2100.0,11,7
Walkabout Mini Golf,Sports,2000.0,7,2
Zwift,Sports,65370.76,10,7
Artifact Classic,Collectible Card Game,119584.34,276,172
Artifact Foundry,Collectible Card Game,1174.5,21,12
Faeria,Collectible Card Game,4100.0,12,5
Gwent,Collectible Card Game,1390997.17,343,120
Hand of the Gods,Collectible Card Game,94434.2,48,36
Hearthstone,Collectible Card Game,29451811.42,2999,1054
Hearthstone Battlegrounds,Collectible Card Game,603630.0,79,7
"KARDS, The World War II Card Game",Collectible Card Game,0.0,0,0
Legends of Runeterra,Collectible Card Game,526181.03,70,9
Magic: The Gathering Arena,Collectible Card Game,10088000.0,323,52
Magic: The Gathering Online,Collectible Card Game,1218000.0,130,10
Mythgard,Collectible Card Game,3000.0,9,3
Pokémon TCG,Collectible Card Game,0.0,0,0
Shadowverse,Collectible Card Game,5508473.29,248,44
Shardbound,Collectible Card Game,0.0,0,0
The Elder Scrolls: Legends,Collectible Card Game,5000.0,3,1
Yu-Gi-Oh! Duel Links,Collectible Card Game,48746.72,328,219
Catherine,Puzzle Game,1545.0,11,7
Catherine: Full Body,Puzzle Game,185.0,3,1
Cultris II,Puzzle Game,190.95,3,1
Jstris,Puzzle Game,275.0,12,2
Magical Drop III,Puzzle Game,130.0,3,1
Microsoft Excel,Puzzle Game,3200.0,17,8
Pac-man,Puzzle Game,0.0,0,0
Panel Attack,Puzzle Game,140.0,5,2
Puyo Puyo Champions,Puzzle Game,2482.3,14,5
Puyo Puyo Tetris,Puzzle Game,3422.84,31,16
Puyo Puyo Tetris 2,Puzzle Game,896.02,10,2
Tetr.io,Puzzle Game,5287.88,27,13
Tetris,Puzzle Game,42515.99,67,28
Tetris Effect: Connected,Puzzle Game,1934.91,12,3
Tetris Ultimate,Puzzle Game,221.0,3,1
Twinkle Star Sprites,Puzzle Game,150.0,4,2
Wise Star 2,Puzzle Game,12000.0,3,1
Apex Legends,Battle Royale,16531885.35,2073,686
Apex Legends Mobile,Battle Royale,0.0,0,0
Ark: Survival Of The Fittest,Battle Royale,0.0,0,0
Fall Guys,Battle Royale,340273.83,250,7
Fortnite,Battle Royale,147185741.05,5973,1062
Free Fire,Battle Royale,14158921.91,1415,75
H1Z1,Battle Royale,2067122.0,119,13
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,62916855.49,3364,229
PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,52339203.06,3517,554
Radical Heights,Battle Royale,120000.0,12,2
Ring of Elysium,Battle Royale,70000.0,9,4
Rocket Arena,Battle Royale,100000.0,24,3
Rules Of Survival,Battle Royale,0.0,0,0
Spellbreak,Battle Royale,50000.0,42,1
Super People,Battle Royale,144526.0,95,11
Gears 5,Third-Person Shooter,2320920.0,163,112
Gears of War,Third-Person Shooter,252195.57,33,18
Gears of War 2,Third-Person Shooter,135000.0,0,5
Gears of War 3,Third-Person Shooter,7255.81,13,4
Gears of War 4,Third-Person Shooter,3142785.0,155,152
Gears of War: Ultimate Edition,Third-Person Shooter,170000.0,39,3
Knockout City,Third-Person Shooter,0.0,0,0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,Third-Person Shooter,420.0,12,2
Rogue Company,Third-Person Shooter,50000.0,48,2
The Division 2,Third-Person Shooter,27250.0,40,2
Beat Saber,Music / Rhythm Game,16175.56,58,10
osu!,Music / Rhythm Game,175823.14,1502,120
